id,title,release_date,release_year,release_month,status,primary_genre,genre_list,n_genres,budget,revenue,profit,roi,runtime,vote_average,vote_count,popularity,primary_company,company_list,n_production_companies,primary_country,country_list,n_countries,original_language,n_spoken_languages,has_homepage,n_keywords,keyword_list,director,n_directors,n_producers,n_writers,cast_size,lead_actor,top_3_cast,cast_n_female,cast_n_male,cast_n_unspecified_gender,crew_size,n_visual_effects_crew,n_camera_crew,n_sound_crew,franchise_status
19995,Avatar,2009-12-10,2009.0,12.0,Released,Action,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",4,237000000,2787965087,2550965087,11.763565767932487,162.0,7.2,11800,150.437577,Ingenious Film Partners,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",4,United States of America,"['United States of America', 'United Kingdom']",2,en,2,True,21,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",James Cameron,1.0,2.0,2.0,83,Sam Worthington,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",12,20,51,153.0,26.0,6.0,13.0,Original
285,Pirates of the Caribbean: At World's End,2007-05-19,2007.0,5.0,Released,Adventure,"['Adventure', 'Fantasy', 'Action']",3,300000000,961000000,661000000,3.203333333333333,169.0,6.9,4500,139.082615,Walt Disney Pictures,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",3,United States of America,['United States of America'],1,en,1,True,16,"['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",Gore Verbinski,1.0,5.0,2.0,34,Johnny Depp,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",5,25,4,32.0,0.0,1.0,5.0,Original
206647,Spectre,2015-10-26,2015.0,10.0,Released,Action,"['Action', 'Adventure', 'Crime']",3,245000000,880674609,635674609,3.5945902408163266,148.0,6.3,4466,107.376788,Columbia Pictures,"['Columbia Pictures', 'Danjaq', 'B24']",3,United Kingdom,"['United Kingdom', 'United States of America']",2,en,5,True,7,"['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",Sam Mendes,1.0,2.0,8.0,83,Daniel Craig,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",13,55,15,155.0,24.0,15.0,17.0,Franchise
49026,The Dark Knight Rises,2012-07-16,2012.0,7.0,Released,Action,"['Action', 'Crime', 'Drama', 'Thriller']",4,250000000,1084939099,834939099,4.339756396,165.0,7.6,9106,112.31295,Legendary Pictures,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",4,United States of America,['United States of America'],1,en,1,True,21,"['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",Christopher Nolan,1.0,3.0,5.0,158,Christian Bale,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",11,73,74,217.0,7.0,15.0,20.0,Original
49529,John Carter,2012-03-07,2012.0,3.0,Released,Action,"['Action', 'Adventure', 'Science Fiction']",3,260000000,284139100,24139100,1.0928426923076924,132.0,6.1,2124,43.926995,Walt Disney Pictures,['Walt Disney Pictures'],1,United States of America,['United States of America'],1,en,1,True,16,"['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",Andrew Stanton,1.0,3.0,4.0,27,Taylor Kitsch,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",6,19,2,132.0,5.0,9.0,14.0,Original
559,Spider-Man 3,2007-05-01,2007.0,5.0,Released,Fantasy,"['Fantasy', 'Action', 'Adventure']",3,258000000,890871626,632871626,3.4529907984496124,139.0,5.9,3576,115.699814,Columbia Pictures,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",3,United States of America,['United States of America'],1,en,2,True,16,"['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",Sam Raimi,1.0,3.0,5.0,143,Tobey Maguire,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",56,33,54,56.0,0.0,3.0,1.0,Franchise
38757,Tangled,2010-11-24,2010.0,11.0,Released,Animation,"['Animation', 'Family']",2,260000000,591794936,331794936,2.2761343692307694,100.0,7.4,3330,48.681969,Walt Disney Pictures,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",2,United States of America,['United States of America'],1,en,1,True,15,"['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",Byron Howard,2.0,1.0,8.0,13,Zachary Levi,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",2,8,3,79.0,16.0,0.0,10.0,Original
99861,Avengers: Age of Ultron,2015-04-22,2015.0,4.0,Released,Action,"['Action', 'Adventure', 'Science Fiction']",3,280000000,1405403694,1125403694,5.019298907142857,141.0,7.3,6767,134.279229,Marvel Studios,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",3,United States of America,['United States of America'],1,en,1,True,9,"['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",Joss Whedon,1.0,1.0,4.0,72,Robert Downey Jr.,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",11,22,39,74.0,5.0,15.0,10.0,Franchise
767,Harry Potter and the Half-Blood Prince,2009-07-07,2009.0,7.0,Released,Adventure,"['Adventure', 'Fantasy', 'Family']",3,250000000,933959197,683959197,3.735836788,153.0,7.4,5293,98.885637,Warner Bros.,"['Warner Bros.', 'Heyday Films']",2,United Kingdom,"['United Kingdom', 'United States of America']",2,en,1,True,8,"['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",David Yates,1.0,3.0,2.0,49,Daniel Radcliffe,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",17,24,8,27.0,0.0,2.0,2.0,Original
209112,Batman v Superman: Dawn of Justice,2016-03-23,2016.0,3.0,Released,Action,"['Action', 'Adventure', 'Fantasy']",3,250000000,873260194,623260194,3.493040776,151.0,5.7,7004,155.790452,DC Comics,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",6,United States of America,['United States of America'],1,en,1,True,9,"['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",Zack Snyder,1.0,2.0,8.0,152,Ben Affleck,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",40,84,28,111.0,12.0,10.0,13.0,Original
